track_name,artist(s)_name,released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mood
Soy El Unico,Yahritza Y Su Esencia,2022,226,126443991,5,4,84,E,Minor,71,63,45,45,0,11,3,Relax
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2023,58,39058561,2,4,116,B,Major,77,79,62,33,1,15,3,Felicità
Nonsense,Sabrina Carpenter,2022,2346,342897938,69,38,139,G#,Major,74,68,68,3,0,26,4,Felicità
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",2022,130,140187018,21,2,116,G#,Minor,77,65,80,6,0,15,4,Felicità
Lover,Taylor Swift,2012,8448,882831184,160,163,206,G,Major,43,50,55,50,0,15,10,Felicità
Crown,Kendrick Lamar,2022,1493,42485571,2,10,170,C#,Minor,37,14,24,80,0,11,4,Tristezza
Snooze,SZA,2022,2839,399686758,58,42,143,F,Major,56,39,55,14,0,11,13,Felicità
Love Again,The Kid Laroi,2023,1283,147538971,57,48,107,B,Minor,66,47,40,72,0,11,3,Relax
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",2021,648,240684449,14,81,133,F#,Minor,82,52,61,38,0,14,27,Carica
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",2022,1601,85924992,11,2,157,A,Major,88,52,69,0,0,8,23,Carica
Mary On A Cross,Ghost,2019,2668,387080183,38,78,130,B,Major,47,56,90,0,0,10,4,Carica
happier,Olivia Rodrigo,2021,3069,850608354,25,105,169,F#,Major,39,36,45,81,0,8,13,Tristezza
Rolling in the Deep,Adele,2010,35684,1472799873,195,"6,280",105,G#,Major,73,52,76,13,0,5,3,Ballabile
Chemical,Post Malone,2023,2528,172825906,56,59,170,D,Major,50,37,90,0,0,12,5,Carica
Super Shy,NewJeans,2023,422,58255150,37,21,150,F,Minor,78,52,82,18,0,15,7,Carica
Last Christmas,Wham!,1984,22153,1159176109,274,"1,302",107,B,Minor,74,88,65,28,0,46,3,Felicità
Die For You - Remix,"Ariana Grande, The Weeknd",2023,3408,518745108,87,74,67,C#,Minor,53,50,53,23,0,44,7,Felicità
Starboy,"The Weeknd, Daft Punk",2016,29536,2565529693,281,"2,445",186,G,Major,68,49,59,16,0,13,28,Felicità
Neverita,Bad Bunny,2022,2590,671365962,20,35,122,A#,Major,88,43,50,7,0,14,5,Ballabile
Take Me To Church,Hozier,2013,23804,2135158446,187,"4,623",129,E,Minor,57,41,66,63,0,12,5,Carica
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",2022,2313,136676504,34,29,120,G,Major,88,15,56,1,0,8,6,Ballabile
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022,4576,448500832,79,93,160,G#,Minor,80,74,60,8,0,14,26,Felicità
Fuera del mercado,Danny Ocean,2022,2499,421365166,68,43,92,G#,Major,45,27,67,32,0,13,14,Felicità
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",2022,1420,88103848,7,7,135,C#,Major,41,27,64,36,0,60,3,Carica
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",2023,577,133753727,22,15,74,A#,Minor,53,24,67,11,0,10,28,Felicità
La Zona,Bad Bunny,2020,1188,312622938,13,15,94,C#,Minor,76,81,80,20,0,25,4,Felicità
El Apagï¿½,Bad Bunny,2022,1209,212351890,9,14,118,G#,Major,63,60,70,5,0,9,31,Carica
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",2023,551,86773632,13,20,146,B,Minor,61,20,48,21,0,12,6,Ballabile
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",2022,2096,107255472,34,30,147,G#,Minor,47,50,80,10,0,32,38,Carica
KU LO SA - A COLORS SHOW,Oxlade,2022,2019,222410722,117,107,93,A#,Minor,65,79,66,31,0,22,7,Felicità
Notion,The Rare Occasions,2016,2393,421135627,22,65,160,A,Major,31,30,88,7,0,8,8,Carica
Punto G,Quevedo,2022,1985,381161027,34,37,92,B,Minor,75,55,76,25,0,10,15,Ballabile
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1959,6512,446390129,88,277,134,C#,Major,45,72,24,91,0,18,4,Felicità
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2022,660,236857112,19,18,98,B,Major,73,88,57,56,0,5,2,Felicità
favorite crime,Olivia Rodrigo,2021,3681,783706581,20,99,173,A,Major,40,19,29,86,0,34,4,Tristezza
Cupid - Twin Ver.,Fifty Fifty,2023,2942,496795686,91,78,120,B,Minor,78,76,59,43,0,34,3,Felicità
Cruel Summer,Taylor Swift,2019,7858,800840817,116,125,170,A,Major,55,58,72,11,0,11,15,Carica
True Love,"Kanye West, XXXTENTACION",2022,2129,194902696,23,44,84,F,Minor,71,39,86,2,0,51,25,Ballabile
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",2023,1638,207033255,0,21,130,B,Minor,69,36,90,1,10,15,4,Carica
Iris,The Goo Goo Dolls,1998,13101,1284942608,137,582,156,B,Minor,32,49,72,0,0,9,4,Carica
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",2022,1003,116144341,21,44,130,E,Minor,89,48,74,30,0,7,36,Carica
Dream On,Aerosmith,1973,168,838586769,0,5,80,F,Minor,39,24,43,39,0,23,3,Relax
Rich Flex,"Drake, 21 Savage",2022,4657,573633020,84,42,153,B,Minor,56,42,52,5,0,36,24,Felicità
love nwantiti (ah ah ah),Ckay,2019,5669,726837877,74,262,93,F,Minor,74,53,73,61,0,13,4,Ballabile
Boyfriend,Dove Cameron,2022,3766,496311364,76,102,180,G,Minor,35,23,61,23,0,19,6,Felicità
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,2022,2499,227918678,70,49,82,A,Major,70,31,34,60,1,11,4,Relax
Thought You Should Know,Morgan Wallen,2022,968,203221468,16,1,140,F#,Major,53,51,70,49,0,14,3,Carica
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",2021,5199,594482982,45,45,146,F,Minor,85,22,37,13,0,7,30,Ballabile
